question,page,short answer,long answer,ref_url,code_sample_url,picture_url
,,,,https://developer.mozilla.org/en-US/docs/Learn/JavaScript/Objects/Object_prototypes,,
Jak fajnie uzyc destructuring assignment w argumencie funkcji?,,,,https://medium.com/swlh/javascript-use-destructuring-assignment-over-function-parameters-7d22b9f9b851,,
Jak wysłać tablicę w formularzu?,,Powtorzyc nazwy wartości.,,https://community.postman.com/t/sending-an-array-as-form-data/4606,,
Co się stanie ze stanem przy refreshu?,,Zresetuje sie.,"Jak się chce zachować stan, to trzeba go jakoś zapisać czymś",,,
Dlaczego korzystając z Link po zmianie strony stan w reduxie się nie zresetował?,,,"Nie wiem, ale tak jest. Tak jest pewnie zaimplementowany Link.",,,
Jak zachować stan reduxa po zmianie urla? Dlaczego używać Link z react-router-dom zamiast po prostu <a>?,,,,https://stackoverflow.com/questions/61176344/redux-state-resets-itself-on-route-change-i-think,,
Po co uzywac Link z react-router-dom?,,,"Żeby nie robić refresha strony, bo się usunie cały stan. Cały VirtualDOM się chyba od nowa przerenderuje.",https://stackoverflow.com/questions/61176344/redux-state-resets-itself-on-route-change-i-think,,
"Gdzie wykonywac fetche do bazy? W actionCreatorach, czy w reducerach?",,,W action creatorach raczej. Bo reducery powinny byc pure funkcjami.,,,
Co to jest weakly typed programming language i czego JS nim jest?,,"Nie musimy deklarować typu zmiennej, tylko on jest wysnuwany z kontekstu.",,https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/learn/lecture/25650696#overview,,
Czy JS moze wchodzic w interakcje z filesystemem na moim kompie?,,Nie,,https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/learn/lecture/25650720#overview,,
Co sie stanie: const some = foo() || returnsHehe() ?,,,"Zwraca pierwszą ""truthy"" wartosc. Czyli jak foo() zwroci Truthy to hehe() sie nawet nie wykona",,,
Co sie stanie: logger() && batch() ?,,,wykona sie wszystko? i zostanie zwrocona ostatnia wartosc,,,
czy to jest ok? const obj = { someProp },, ,To jest skrot dla const obj = { someProp: someProp },https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/learn/lecture/16029718#overview,,
"jak rozszerzamy klase, ale nie zrobimy konstruktora to czy konstuktor super() sie wykona?",,tak,,,,
Kiedy fieldy sa tlumaczone na propertisy w obiekcie?,,,Dopiero po uzyciu konstruktora rodzica -> super();,,,
"Jak mozna obejsc bindowanie, zeby funkcja uzyla this.prop z obiektu ktorego stworzylismy instancję, a nie np. z buttona ktory zostal uzyty na 'onclick'?",,,"addEventListener('click', console.log(() => this.prop)); this odwoluje sie do instancji, a nie do buttona dzieki uzyciu arrow functiona",,,
Co to Object.getOwnPropertyDescriptors(person)?,,metadane,,https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/learn/lecture/16156103#search,,
Kiedy trzeba uzyc super() w nawiazaniu do propertisow klasy?,,,"super() przed uzyciem propertisa, np. super(); this.name = 'name'",,,
czy kazdy obiekt w js ma prototype?,,tak,,,,
Czy funkcje maja prototype?,,tak,bo funkcje to tez obiekty,,,
Czy prototype ma prototype?,,tak,"bo to tez jest obiekt, kazdy obiekt musi miec prototype",https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/learn/lecture/16156127#search,,
Na co wskazuje Object.prototype?,,null,,,,
Gdzie jest dostepne __proto__ a gdzie prototype?,,,"prototype jest dostepne w construktor functions. Jezeli uzyjemy tej funkcji z ""new"" na poczatku, to to co kryje sie pod foo.prototype bedzie przypisane jako __proto__ w obiekcie ktory stworzymy. Natomiast __proto__ ma KAZDY obiekt w JS. Jezeli nie znajdzie sie cos w stworzonym obiekcie, to jest szukane w obj.__proto__ itd obj.__proto__.__proto__ az trafi na null, czyli Object.prototype.__proto__ == null",,,
Czy Object jest rozszerzeniem Function? eg. Object extends Function?,,tak,Object.__proto__ == Function.prototype,,,
Jakie sa dwie najwazniejsze roznice uzywania Constructor functions i Class?,,,"Z defaultu w CF metody sa enumerable, nie jest wlaczony ""strict mode"". Natomiast w klasach metody nie sa enumerable, a strict mode jest z defaultu wlaczony.",https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/learn/lecture/16156161#search,,
Co to jest Closure?,,,A closure is the combination of a function bundled together (enclosed) with references to its surrounding state (the lexical environment).,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Closures#practical_closures,,
Co to Partial Application?,,,Partial Application: The process of applying a function to some of its arguments.,https://medium.com/javascript-scene/master-the-javascript-interview-what-is-a-closure-b2f0d2152b36,,
Co to Currying?,,,,,,
Co to HOC?,,,Funkcja ktora przyjmuje lub zwraca funkcję.,,,
Co sie stanie i dlaczego?,,,"Wszystkie event handlery są przypisane do ""val i"". Stworzy sie 10 event handlerow i wyswietli sie ostatnia wartosc 10 razy. Tak by bylo jakby bylo bez 2 funkcji. Dzieki 2 funkcjom robimy za kazdy razem nowy ""kontekst lexykalny"" przez co bedzie ok, czyli event handlery dla roznych wartosci.",http://jsfiddle.net/MKzdt/1/,,
Dlaczego w Javie nie ma Closures?,,,In order to support this feature you need to have first-class functions which java does not support.,,,
,,,,https://github.com/zuberol/js-snippets/blob/main/closure1.js,,
Co to first class functions?,,,"first-class functions, meaning that functions are treated like any other first-class object — they can be stored in variables, passed around, returned from other functions, and even hold their own properties.",https://medium.com/launch-school/javascript-weekly-an-introduction-to-first-class-functions-9d069e6fb137,,
